nom_asent,nom_muni
Aguilera,Azcapotzalco
Aldana,Azcapotzalco
Ángel Zimbrón,Azcapotzalco
Arenal,Azcapotzalco
Centro De Azcapotzalco,Azcapotzalco
Coltongo,Azcapotzalco
San Andrés,Azcapotzalco
San Sebastián,Azcapotzalco
Clavería,Azcapotzalco
Coltongo,Azcapotzalco
Cosmopolita,Azcapotzalco
Ampliación Cosmopolita,Azcapotzalco
Unidad Cuitlahuac,Azcapotzalco
Del Gas,Azcapotzalco
Ampliación Del Gas,Azcapotzalco
Del Maestro,Azcapotzalco
Estación Pantaco,Azcapotzalco
Euzkadi,Azcapotzalco
Ferrería,Azcapotzalco
Ex-hacienda El Rosario,Azcapotzalco
Industrial Vallejo,Azcapotzalco
El Jagüey,Azcapotzalco
Jardín Azpeitia,Azcapotzalco
Liberación,Azcapotzalco
Libertad,Azcapotzalco
Monte Alto,Azcapotzalco
Nextengo,Azcapotzalco
Nueva España,Azcapotzalco
Nueva El Rosario,Azcapotzalco
Nueva Santa María,Azcapotzalco
Obrero Popular,Azcapotzalco
Pasteros,Azcapotzalco
Patrimonio Familiar,Azcapotzalco
Petrolera,Azcapotzalco
Ampliación Petrolera,Azcapotzalco
Plenitud,Azcapotzalco
Porvenir,Azcapotzalco
Potrero Del Llano,Azcapotzalco
Prados Del Rosario,Azcapotzalco
La Preciosa,Azcapotzalco
Providencia,Azcapotzalco
Pro Hogar,Azcapotzalco
La Raza,Azcapotzalco
Del Recreo,Azcapotzalco
Los Reyes,Azcapotzalco
Reynosa Tamaulipas,Azcapotzalco
El Rosario,Azcapotzalco
Las Salinas,Azcapotzalco
San Álvaro,Azcapotzalco
San Antonio,Azcapotzalco
San Bartolo Cahualtongo,Azcapotzalco
San Bernabé,Azcapotzalco
San Francisco Tetecala,Azcapotzalco
San Francisco Xocotitla,Azcapotzalco
San Juan Tlihuaca,Azcapotzalco
San Marcos,Azcapotzalco
San Martín Xochinahuac,Azcapotzalco
San Mateo,Azcapotzalco
San Miguel Amantla,Azcapotzalco
San Pedro Xalpa,Azcapotzalco
Ampliación San Pedro Xalpa,Azcapotzalco
San Rafael,Azcapotzalco
Nuevo Barrio San Rafael,Azcapotzalco
San Salvador Xochimanca,Azcapotzalco
Santa Apolonia,Azcapotzalco
Santa Bárbara,Azcapotzalco
Santa Catarina,Azcapotzalco
Santa Cruz Acayucan,Azcapotzalco
Santa Inés,Azcapotzalco
Santa Lucia,Azcapotzalco
Santa María Malinalco,Azcapotzalco
Santiago Ahuizotla,Azcapotzalco
Santo Domingo,Azcapotzalco
Santo Tomás,Azcapotzalco
Sector Naval,Azcapotzalco
Sindicato Mexicano De Electricistas,Azcapotzalco
Tezozomoc,Azcapotzalco
Tierra Nueva,Azcapotzalco
Tlatilco,Azcapotzalco
Trabajadores De Hierro,Azcapotzalco
Un Hogar Para Cada Trabajador,Azcapotzalco
Victoria De Las Democracias,Azcapotzalco
Huautla De Las Salinas,Azcapotzalco
Ignacio Allende,Azcapotzalco
San Andrés,Azcapotzalco
San Andrés De Las Salinas,Azcapotzalco
Santa Cruz De Las Salinas,Azcapotzalco
Industrial San Antonio,Azcapotzalco
Adolfo Ruiz Cortines,Coyoacán
Ajusco,Coyoacán
Alianza Popular Revolucionaria,Coyoacán
Atlántida,Coyoacán
Avante,Coyoacán
La Concepción,Coyoacán
Del Niño Jesús,Coyoacán
San Diego Churubusco,Coyoacán
Cuadrante De San Francisco,Coyoacán
San Lucas,Coyoacán
San Mateo,Coyoacán
Santa Catarina,Coyoacán
Bosques De Tetlameya,Coyoacán
Cafetales,Coyoacán
Las Campanas,Coyoacán
Campestre Churubusco,Coyoacán
Campestre Coyoacán,Coyoacán
Culhuacán Ctm Canal Nacional,Coyoacán
La Candelaria,Coyoacán
Cantil Del Pedregal,Coyoacán
El Caracol,Coyoacán
Carmen Serdán,Coyoacán
Los Cedros,Coyoacán
El Centinela,Coyoacán
Los Cipreses,Coyoacán
Ciudad Jardín,Coyoacán
Copilco El Alto,Coyoacán
Copilco El Bajo,Coyoacán
Copilco Universidad,Coyoacán
Churubusco Country Club,Coyoacán
Culhuacán Ctm Croc,Coyoacán
Culhuacán Ctm Sección Viii,Coyoacán
Culhuacán Ctm Sección Ix-a,Coyoacán
Culhuacán Ctm Sección X,Coyoacán
Culhuacán Ctm Sección I,Coyoacán
Culhuacán Ctm Sección Ii,Coyoacán
Culhuacán Ctm Sección Iii,Coyoacán
Culhuacán Ctm Sección V,Coyoacán
Culhuacán Ctm Sección Vi,Coyoacán
Culhuacán Ctm Sección Vii,Coyoacán
Culhuacán Ctm Sección X-a,Coyoacán
Del Carmen,Coyoacán
Educación,Coyoacán
Emiliano Zapata,Coyoacán
Emiliano Zapata Fraccionamiento Popular,Coyoacán
Espartaco,Coyoacán
Ex-ejido De San Francisco Culhuacán,Coyoacán
Ex-hacienda Coapa,Coyoacán
Los Girasoles,Coyoacán
Haciendas De Coyoacán,Coyoacán
Hermosillo,Coyoacán
Huayamilpas,Coyoacán
Culhuacán Ctm Sección Piloto,Coyoacán
Insurgentes Cuicuilco,Coyoacán
Jardines De Coyoacán,Coyoacán
Jardines Del Pedregal De San Ángel,Coyoacán
Joyas Del Pedregal,Coyoacán
El Mirador,Coyoacán
Olímpica,Coyoacán
Los Olivos,Coyoacán
La Otra Banda,Coyoacán
Oxtopulco Universidad,Coyoacán
El Parque De Coyoacán,Coyoacán
Parque San Andrés,Coyoacán
Paseos De Taxqueña,Coyoacán
Pedregal De San Francisco,Coyoacán
Pedregal De Santa Úrsula,Coyoacán
Pedregal De Santo Domingo,Coyoacán
Petrolera Taxqueña,Coyoacán
Prado Churubusco,Coyoacán
Prados De Coyoacán,Coyoacán
Presidentes Ejidales Primera Sección,Coyoacán
De Los Reyes,Coyoacán
San Pablo Tepetlapa,Coyoacán
De Santa Úrsula Coapa,Coyoacán
El Rosario,Coyoacán
El Reloj,Coyoacán
Romero De Terreros,Coyoacán
El Rosedal,Coyoacán
San Francisco Culhuacán Barrio De La Magdalena,Coyoacán
Santa Cecilia,Coyoacán
Los Sauces,Coyoacán
